Time,dayofyear,month,dayofweek,hourofday,minuteofday,daytype,season,Energy
1/22/2018 19:45,22,1,1,19,45,0,1,0.443324061
1/22/2018 20:00,22,1,1,20,0,0,1,0.426866018
1/22/2018 20:15,22,1,1,20,15,0,1,0.416666667
1/22/2018 20:30,22,1,1,20,30,0,1,0.409596662
1/22/2018 20:45,22,1,1,20,45,0,1,0.420723227
1/22/2018 21:00,22,1,1,21,0,0,1,0.418868799
1/22/2018 21:15,22,1,1,21,15,0,1,0.398470097
1/22/2018 21:30,22,1,1,21,30,0,1,0.406583217
1/22/2018 21:45,22,1,1,21,45,0,1,0.410176171
1/22/2018 22:00,22,1,1,22,0,0,1,0.3918637
1/22/2018 22:15,22,1,1,22,15,0,1,0.377491887
1/22/2018 22:30,22,1,1,22,30,0,1,0.371001391
1/22/2018 22:45,22,1,1,22,45,0,1,0.353963839
1/22/2018 23:00,22,1,1,23,0,0,1,0.334608252
1/22/2018 23:15,22,1,1,23,15,0,1,0.326263329
1/22/2018 23:30,22,1,1,23,30,0,1,0.334376449
1/22/2018 23:45,22,1,1,23,45,0,1,0.329624478
1/29/2018 0:00,29,1,1,0,0,0,1,0.303546592
1/29/2018 0:15,29,1,1,0,15,0,1,0.304357904
1/29/2018 0:30,29,1,1,0,30,0,1,0.287088549
1/29/2018 0:45,29,1,1,0,45,0,1,0.293463143
1/29/2018 1:00,29,1,1,1,0,0,1,0.283727399
1/29/2018 1:15,29,1,1,1,15,0,1,0.286740844
1/29/2018 1:30,29,1,1,1,30,0,1,0.281293463
1/29/2018 1:45,29,1,1,1,45,0,1,0.2770051
1/29/2018 2:00,29,1,1,2,0,0,1,0.284770515
1/29/2018 2:15,29,1,1,2,15,0,1,0.275498377
1/29/2018 2:30,29,1,1,2,30,0,1,0.278975429
1/29/2018 2:45,29,1,1,2,45,0,1,0.28106166
1/29/2018 3:00,29,1,1,3,0,0,1,0.278048215
1/29/2018 3:15,29,1,1,3,15,0,1,0.283379694
1/29/2018 3:30,29,1,1,3,30,0,1,0.269471488
1/29/2018 3:45,29,1,1,3,45,0,1,0.281409365
1/29/2018 4:00,29,1,1,4,0,0,1,0.271789522
1/29/2018 4:15,29,1,1,4,15,0,1,0.279554937
1/29/2018 4:30,29,1,1,4,30,0,1,0.268544274
1/29/2018 4:45,29,1,1,4,45,0,1,0.279439036
1/29/2018 5:00,29,1,1,5,0,0,1,0.275614279
1/29/2018 5:15,29,1,1,5,15,0,1,0.270398702
1/29/2018 5:30,29,1,1,5,30,0,1,0.272021326
1/29/2018 5:45,29,1,1,5,45,0,1,0.273064441
1/29/2018 6:00,29,1,1,6,0,0,1,0.271557719
1/29/2018 6:15,29,1,1,6,15,0,1,0.270166898
1/29/2018 6:30,29,1,1,6,30,0,1,0.273759852
1/29/2018 6:45,29,1,1,6,45,0,1,0.264951321
1/29/2018 7:00,29,1,1,7,0,0,1,0.26622624
1/29/2018 7:15,29,1,1,7,15,0,1,0.268080668
1/29/2018 7:30,29,1,1,7,30,0,1,0.272021326
1/29/2018 7:45,29,1,1,7,45,0,1,0.272137228
1/29/2018 8:00,29,1,1,8,0,0,1,0.280018544
1/29/2018 8:15,29,1,1,8,15,0,1,0.282800185
1/29/2018 8:30,29,1,1,8,30,0,1,0.277932313
1/29/2018 8:45,29,1,1,8,45,0,1,0.295665276
1/29/2018 9:00,29,1,1,9,0,0,1,0.320700046
1/29/2018 9:15,29,1,1,9,15,0,1,0.334608252
1/29/2018 9:30,29,1,1,9,30,0,1,0.365206305
1/29/2018 9:45,29,1,1,9,45,0,1,0.378071395
1/29/2018 10:00,29,1,1,10,0,0,1,0.401831247
1/29/2018 10:15,29,1,1,10,15,0,1,0.433356514
1/29/2018 10:30,29,1,1,10,30,0,1,0.458043579
1/29/2018 10:45,29,1,1,10,45,0,1,0.53650904
1/29/2018 11:00,29,1,1,11,0,0,1,0.502549838
1/29/2018 11:15,29,1,1,11,15,0,1,0.52097821
1/29/2018 11:30,29,1,1,11,30,0,1,0.515414928
1/29/2018 11:45,29,1,1,11,45,0,1,0.531641168
1/29/2018 12:00,29,1,1,12,0,0,1,0.549026426
1/29/2018 12:15,29,1,1,12,15,0,1,0.551460362
1/29/2018 12:30,29,1,1,12,30,0,1,0.53175707
1/29/2018 12:45,29,1,1,12,45,0,1,0.518660176
1/29/2018 13:00,29,1,1,13,0,0,1,0.519355586
1/29/2018 13:15,29,1,1,13,15,0,1,0.518776078
1/29/2018 13:30,29,1,1,13,30,0,1,0.495016226
1/29/2018 13:45,29,1,1,13,45,0,1,0.440426518
1/29/2018 14:00,29,1,1,14,0,0,1,0.439383403
1/29/2018 14:15,29,1,1,14,15,0,1,0.455957348
1/29/2018 14:30,29,1,1,14,30,0,1,0.476124247
1/29/2018 14:45,29,1,1,14,45,0,1,0.505331479
1/29/2018 15:00,29,1,1,15,0,0,1,0.525150672
1/29/2018 15:15,29,1,1,15,15,0,1,0.555980529
1/29/2018 15:30,29,1,1,15,30,0,1,0.614279091
